ENST00000439425.6	TAP2
ENST00000506642.5	CPLX2
ENST00000585107.1	MIR4653
ENST00000503726.2	BAX
ENST00000481907.1	GPR156
ENST00000524092.1	TOP1MT
ENST00000361763.8	CD3E
ENST00000471737.1	MTCH1
ENST00000462465.1	MARCH5
ENST00000544564.5	IST1
ENST00000470622.1	IPCEF1
ENST00000371891.7	CYP4A22
ENST00000550651.5	RACGAP1
ENST00000522994.1	DOCK2
ENST00000470276.5	RPS18
ENST00000559979.5	ANKRD34C-AS1
ENST00000589775.6	LGALS3BP
ENST00000462091.5	UMPS
ENST00000600927.1	ZNF548
ENST00000511155.1	XPC
ENST00000503642.1	LYRM9
ENST00000559415.1	PIGH
ENST00000484665.2	MUC19
ENST00000481136.1	PDCD10
ENST00000509936.5	ACAD10
ENST00000463919.1	ALKAL2
ENST00000458728.5	METTL6
ENST00000472258.1	NKTR
ENST00000506055.5	PPARGC1A
ENST00000392695.6	TTC21B
ENST00000484225.1	PRR3
ENST00000619215.2	CDHR5
ENST00000344780.4	SNX21
ENST00000538162.3	PNMA6B
ENST00000449097.1	PAGE2
ENST00000629195.2	PLAGL1
ENST00000461964.1	GTF2H4
ENST00000361933.7	CD300A
ENST00000425038.1	HSFY1P1
ENST00000566772.1	KARS
ENST00000477565.3	BORCS8
ENST00000484767.5	SND1
ENST00000523720.1	R3HCC1
ENST00000597207.1	C19orf45
ENST00000515280.5	FAM135A
ENST00000563872.5	STARD9
ENST00000570482.2	CEP131
ENST00000392627.5	GPRC5C
ENST00000631116.1	LINC00969
ENST00000511109.1	GAB1
ENST00000216180.7	PNPLA3
ENST00000605932.5	OXNAD1
ENST00000430142.5	TOP3B
ENST00000476264.6	IFT172
ENST00000357512.3	ZNF92
ENST00000413387.5	CRTAC1
ENST00000482949.5	LCK
ENST00000374169.7	POLE3
ENST00000547860.1	ELK3
ENST00000443019.6_PAR_Y	PLCXD1
ENST00000367334.9	TMEM9
ENST00000467764.1	JAK1
ENST00000579186.1	SH3GL1P1
ENST00000392623.5	S100A13
ENST00000479100.1	COL16A1
ENST00000566696.1	TOX3
ENST00000495989.1	LY6G6D
ENST00000512558.5	ZFYVE16
ENST00000347343.6	AURKA
ENST00000573203.5	NDE1
ENST00000633252.1	PIWIL1
ENST00000462422.5	SMYD3
ENST00000529486.5	SIGIRR
ENST00000520545.5	NIPAL2
ENST00000581482.5	HEXDC
ENST00000461386.5	CEP250
ENST00000381625.9	PPP2R3B
ENST00000518695.2	TERF1
ENST00000479483.1	CHIT1
ENST00000566774.1	ESRP2
ENST00000426709.5	LINC01363
ENST00000427581.6	LILRB1
ENST00000418308.5	PCBP1-AS1
ENST00000402583.5	CBX1
ENST00000632534.1	LINC02124
ENST00000341189.8	ARMCX3
ENST00000342947.7	DFNA5
ENST00000590790.5	MGRN1
ENST00000330022.11	SETD2
ENST00000354574.8	GIT2
ENST00000538422.2	LRCH2
ENST00000453073.1	HNRNPA1P47
ENST00000535818.1	VPS37C
ENST00000365233.1	RNU4-12P
ENST00000384955.2	MIR548D2
ENST00000389735.7	HMCES
ENST00000557369.1	HECTD1
ENST00000498462.1	RPL3
ENST00000547706.1	RPAP3
ENST00000468274.1	BAG1
ENST00000489706.5	MYBPHL
ENST00000455656.1	TMEM56
ENST00000513533.1	HOXC-AS2
ENST00000369798.6	TTK
ENST00000538375.5	COPS7A
ENST00000527629.5	FAM111A
ENST00000414074.1	PRKX-AS1
ENST00000452150.6	EPB41L2
ENST00000534940.6_PAR_Y	ASMTL
ENST00000552269.5	PCED1B-AS1
ENST00000303354.10	SCN9A
ENST00000630419.2	HYOU1
ENST00000611205.4	CDKN3
ENST00000373413.2	ZSCAN20
ENST00000589369.2	AP3D1
ENST00000402437.2	MVB12B
ENST00000617301.4	ACAN
ENST00000476631.5	CRYGN
ENST00000589538.5	DNMT1
ENST00000448666.5	MOGS
ENST00000222157.4	FGF21
ENST00000520506.1	RPL31P40
ENST00000565035.1	RPAP1
ENST00000532331.5	PTPRK
ENST00000383217.8	RXRB
ENST00000492511.1	PDLIM1
ENST00000487305.5	TMEM39B
ENST00000601637.1	CPAMD8
ENST00000418376.1	OR2H1
ENST00000442235.6	TTC31
ENST00000510212.1	RPL34-AS1
ENST00000452142.6	BIN2
ENST00000375244.7	TNXB
ENST00000358227.4	TMEM261
ENST00000428829.1	DUSP15
ENST00000419054.5	MOV10L1
ENST00000586967.1	CALR
ENST00000587509.5	PRKCSH
ENST00000612127.4	LILRA3
ENST00000542674.5	MAGEA8
ENST00000479035.6	RPL23
ENST00000452077.5	AKT2
ENST00000615972.1	FAHD1
ENST00000443599.2	KRT18P57
ENST00000409369.1	IL18RAP
ENST00000479679.5	TANGO2
ENST00000539369.1	LDHC
ENST00000453029.2	OAZ3
ENST00000421369.3	TMC7
ENST00000362011.6	SHISA4
ENST00000582208.1	WSB1
ENST00000554843.5	PSMA6
ENST00000316403.14	CLU
ENST00000412887.5	PDCD6IP
ENST00000420732.6	MS4A6A
ENST00000627492.1	LINC00969
ENST00000437597.1	LINC00884
ENST00000537581.1	COA4
ENST00000380842.4	POMP
ENST00000415802.3	MAS1L
ENST00000550828.1	ERBB3
ENST00000524032.5	LAMA4
ENST00000382068.3	AMACR
ENST00000478509.1	FAM50A
ENST00000634058.1	BFAR
ENST00000433733.5	PCYT1A
ENST00000615085.3	PROX1-AS1
ENST00000394671.7	TMCO6
ENST00000469123.5	SSBP1
ENST00000424646.6	NR3C1
ENST00000492663.1	MDH2
ENST00000471102.1	WASHC2C
ENST00000475698.1	ELF3
ENST00000427468.6	EPHA10
ENST00000571175.5	NUBP1
ENST00000530678.1	HINFP
ENST00000620632.4	TARDBP
ENST00000425552.1	RPL35AP
ENST00000615053.3	POTEI
ENST00000404067.5	CENPM
ENST00000428957.2	TCF19
ENST00000633725.1	FMO6P
ENST00000498223.3	CTTN
ENST00000617762.4	FCAR
ENST00000587491.5	SEC14L1
ENST00000006777.10	RHBDD2
ENST00000442951.5	EXOC7
ENST00000451495.6	TEX26-AS1
ENST00000398000.6	CXorf36
ENST00000463762.1	GLT8D1
ENST00000406385.1	PPIL2
ENST00000368416.5	NKAIN2
ENST00000439248.5	TTLL1
ENST00000509995.5	SNF8
ENST00000522867.1	MOK
ENST00000528128.2	TTYH2
ENST00000393310.5	LIMS1
ENST00000480322.1	GPR171
ENST00000514587.1	LHFPL2
ENST00000605370.1	SH3YL1
ENST00000617923.4	ZNF2
ENST00000458138.1	C21orf59
ENST00000620889.4	RAD17
ENST00000430985.1	TSPAN12
ENST00000264717.6	GCKR
ENST00000624933.1	ATP2C2
ENST00000378533.3	SRPX
ENST00000457220.1	AMD1P1
ENST00000384868.3	MIR598
ENST00000537645.5	ZNF460
ENST00000591956.1	SNHG16
ENST00000272324.9	REG3G
ENST00000554151.1	ATG2B
ENST00000409636.5	HNRNPLL
ENST00000546927.1	DDI2
ENST00000619608.4	LILRB5
ENST00000372362.6	ST3GAL3
ENST00000402039.1	RPS4XP8
ENST00000420797.5	LST1
ENST00000551059.1	CORO1C
ENST00000525002.5	MYB
ENST00000592453.2	DAZAP1
ENST00000529692.1	OR8B10P
ENST00000345127.8	PRICKLE1
ENST00000340057.1	IL17A
ENST00000394142.7	CNPY3
ENST00000505314.1	SRP72
ENST00000628027.2	BAIAP3
ENST00000603363.5	DGAT2
ENST00000350061.9	CACNA1D
ENST00000460569.1	UPF2
ENST00000601836.1	ESM1
ENST00000417482.5	GRM7-AS3
ENST00000398158.5	CBS
ENST00000483691.1	DNAH11
ENST00000373856.7	NONO
ENST00000474960.5	TRIM31
ENST00000536738.5	WSB2
ENST00000454759.6	ECD
